"Name","Team","Age","AB","R","HR","RBI","SB","AVG","BB%","K%","LD%","GB%","FB%","IFFB%","IFH%","BUH%","Spd","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","EV","LA","Barrel%","maxEV","HardHit%","CStr%","CSW%","playerid"
"Garrett Cooper","MIA","30","215","30","9","33","1",".284","12.0%","27.2%","21.6%","51.4%","27.0%","2.5%","3.9%","0.0%","2.9","30.5%","68.1%","45.9%","65.7%","83.8%","76.7%","40.8%","56.8%","10.7%","37.8%","35.8%","26.4%","14.2%","52.0%","33.8%","42.8%","91.1","8.2","10.8%","114.0","52.7%","16.6%","27.3%","15279"
"Connor Joe","COL","28","179","23","8","35","0",".285","12.3%","19.4%","28.4%","33.3%","38.3%","9.3%","4.3%","0.0%","0.9","22.4%","69.6%","41.7%","58.3%","88.0%","78.6%","41.0%","56.9%","8.9%","42.6%","27.7%","29.8%","15.6%","45.4%","39.0%","35.5%","88.2","14.6","9.9%","113.3","39.0%","17.7%","26.7%","16572"
"Mookie Betts","LAD","28","466","93","23","58","10",".264","12.4%","15.6%","21.6%","35.1%","43.4%","10.2%","8.9%","0.0%","5.4","22.9%","64.6%","40.4%","68.2%","93.1%","84.9%","42.0%","58.2%","6.1%","48.3%","29.6%","22.1%","13.8%","45.2%","41.0%","32.2%","90.3","18.9","7.8%","107.9","41.3%","19.5%","25.6%","13611"
"Rhys Hoskins","PHI","28","389","64","27","71","3",".247","10.6%","24.4%","19.8%","29.3%","50.9%","13.2%","6.0%","0.0%","2.8","29.8%","64.3%","44.4%","62.8%","83.2%","75.3%","42.2%","59.8%","11.0%","44.2%","32.2%","23.7%","12.7%","53.0%","34.3%","41.1%","91.2","21.7","17.0%","112.2","46.3%","17.5%","28.5%","16472"
"Starling Marte","- - -","32","467","89","12","55","47",".310","8.2%","18.8%","21.1%","54.8%","24.1%","8.0%","11.5%","50.0%","7.8","34.2%","71.2%","48.8%","64.5%","87.9%","77.9%","39.4%","64.1%","10.8%","38.0%","35.6%","26.4%","18.9%","48.2%","32.9%","29.3%","87.6","4.6","8.4%","112.9","39.4%","15.0%","25.7%","9241"
"J.D. Martinez","BOS","33","570","92","28","99","0",".286","8.7%","23.7%","23.8%","34.4%","41.9%","6.2%","7.5%","0.0%","2.6","36.9%","79.8%","54.3%","60.2%","81.7%","73.0%","40.6%","62.6%","14.6%","34.8%","34.8%","30.4%","10.6%","50.6%","38.8%","36.8%","92.1","16.9","12.4%","113.2","49.3%","11.3%","25.9%","6184"
"Will Smith","LAD","26","414","71","25","76","3",".258","11.6%","20.2%","22.2%","31.5%","46.3%","4.7%","7.8%","0.0%","4.1","24.7%","64.4%","41.9%","69.9%","85.5%","80.3%","43.2%","57.7%","8.3%","37.3%","38.6%","24.1%","12.0%","50.6%","37.3%","36.7%","90.1","19.4","10.8%","108.6","43.8%","19.6%","27.9%","19197"
"Carlos Correa","HOU","26","555","104","26","92","0",".279","11.7%","18.1%","23.6%","41.6%","34.8%","12.9%","8.1%","0.0%","2.4","27.0%","62.8%","42.1%","65.4%","89.4%","80.5%","42.1%","57.7%","8.2%","36.7%","35.6%","27.7%","16.9%","46.6%","36.5%","33.9%","90.2","12.1","9.4%","116.4","42.5%","19.5%","27.7%","14162"
"Brandon Lowe","TBR","26","535","97","39","99","7",".247","11.1%","27.2%","21.7%","34.2%","44.0%","7.4%","7.9%","66.7%","3.8","33.8%","79.4%","52.4%","54.6%","78.3%","69.2%","40.9%","62.1%","16.1%","43.1%","32.3%","24.5%","17.8%","46.9%","35.3%","44.6%","89.3","16.9","14.0%","111.2","43.1%","10.9%","27.0%","18882"
"Yuli Gurriel","HOU","37","530","83","15","81","1",".319","9.8%","11.2%","20.3%","40.9%","38.8%","14.1%","4.1%","0.0%","2.0","29.8%","62.2%","42.8%","81.9%","92.5%","88.1%","40.1%","59.7%","5.1%","36.1%","38.6%","25.3%","16.9%","49.4%","33.8%","23.5%","89.8","13.4","3.4%","109.1","41.4%","18.6%","23.7%","19198"
"Jonathan India","CIN","24","532","98","21","69","12",".269","11.3%","22.3%","22.5%","44.1%","33.4%","8.3%","7.5%","0.0%","5.1","25.0%","58.2%","39.0%","61.0%","86.7%","77.2%","42.2%","55.2%","8.9%","50.8%","31.8%","17.4%","15.7%","50.3%","34.1%","36.9%","87.6","13.1","9.6%","110.2","38.1%","21.4%","30.3%","21523"
"Pete Alonso","NYM","26","561","81","37","94","3",".262","9.4%","19.9%","18.3%","38.8%","42.9%","9.0%","7.1%","0.0%","3.5","35.0%","71.3%","49.3%","63.9%","86.4%","76.7%","39.3%","58.7%","11.5%","41.3%","32.0%","26.7%","15.5%","46.6%","37.9%","35.2%","91.0","14.7","14.8%","118.4","47.3%","13.8%","25.3%","19251"
"Austin Allen","OAK","27","8","2","1","1","0",".250","0.0%","37.5%","0.0%","40.0%","60.0%","0.0%","0.0%","0.0%","2.6","42.9%","70.6%","58.1%","33.3%","66.7%","55.6%","54.8%","62.5%","25.8%","60.0%","40.0%","0.0%","20.0%","40.0%","40.0%","50.0%","94.2","1.4","20.0%","106.0","40.0%","16.1%","41.9%","18083"
"Salvador Perez","KCR","31","620","88","48","121","1",".273","4.2%","25.6%","22.7%","37.2%","40.1%","8.8%","5.3%","0.0%","1.8","48.3%","78.7%","58.9%","55.9%","83.3%","68.6%","34.7%","64.7%","18.5%","46.9%","31.7%","21.4%","13.4%","42.7%","43.8%","37.0%","93.0","15.9","16.3%","114.4","55.9%","9.3%","27.8%","7304"
"Mike Zunino","TBR","30","333","64","33","62","0",".216","9.1%","35.2%","15.8%","30.2%","54.0%","22.9%","8.2%","0.0%","3.7","31.5%","68.5%","46.8%","47.1%","74.6%","63.7%","41.3%","58.7%","17.0%","58.9%","24.3%","16.8%","24.8%","34.7%","40.6%","53.1%","90.7","23.2","24.3%","117.3","46.5%","15.5%","32.5%","13265"
"Justin Turner","LAD","36","533","87","27","87","3",".278","10.0%","16.0%","21.3%","34.9%","43.8%","10.9%","3.9%","0.0%","2.9","28.0%","68.4%","44.5%","74.1%","89.8%","84.0%","40.8%","55.4%","7.1%","34.5%","35.8%","29.7%","11.3%","48.1%","40.6%","30.4%","90.9","19.2","7.9%","109.8","42.2%","16.8%","23.9%","5235"
"Luke Maile","MIL","30","30","6","0","3","0",".300","8.8%","20.6%","17.4%","69.6%","13.0%","0.0%","6.3%","0.0%","2.6","36.6%","64.3%","46.0%","56.7%","88.9%","71.9%","33.9%","52.9%","12.9%","39.1%","30.4%","30.4%","34.8%","34.8%","30.4%","29.4%","79.6","1.2","4.3%","104.4","26.1%","16.1%","29.0%","13355"
"J.D. Davis","NYM","28","179","18","5","23","1",".285","11.4%","32.2%","31.0%","38.9%","30.1%","14.7%","15.9%","0.0%","2.0","29.5%","79.0%","50.1%","46.4%","68.9%","61.2%","41.7%","61.6%","19.4%","37.2%","35.4%","27.4%","9.7%","59.3%","31.0%","46.0%","89.7","13.2","12.4%","111.9","42.5%","11.0%","30.4%","16219"
"Jared Walsh","LAA","27","530","70","29","98","2",".277","8.2%","26.0%","21.8%","48.3%","29.9%","12.3%","4.3%","0.0%","2.5","34.4%","69.4%","49.0%","66.6%","84.3%","77.0%","41.8%","57.4%","11.3%","41.7%","37.3%","21.0%","17.8%","46.2%","36.0%","39.1%","89.6","7.8","11.3%","114.8","41.2%","15.4%","26.7%","18607"
"Jose Altuve","HOU","31","601","117","31","83","5",".278","9.7%","13.4%","22.3%","38.9%","38.7%","17.9%","8.6%","18.2%","3.7","34.7%","66.7%","47.0%","77.2%","91.9%","85.2%","38.5%","63.6%","7.0%","54.4%","31.3%","14.3%","19.0%","50.3%","30.8%","27.7%","87.7","15.6","6.4%","109.1","34.4%","17.7%","24.6%","5417"
