Name,Team,G,playerid
Ronald Bolanos,KCR,8,20041
Jesus Cruz,ATL,7,20042
Jake Fishman,MIA,7,20060
Kaleb Ort,BOS,25,20061
Bailey Falter,PHI,20,20070
Miguel Sanchez,MIL,12,20074
Mauricio Llovera,SFG,17,20080
Chris Paddack,MIN,5,20099
Michel Baez,SDP,2,20100
Calvin Faucher,TBR,22,20116
Adam Oller,OAK,19,20132
James Karinchak,CLE,38,20151
Nick Nelson,PHI,47,20153
Kyle Muller,ATL,3,20167
Zach Pop,- - -,36,20185
Chad Smith,COL,15,20190
Garrett Whitlock,BOS,31,20191
Eli Morgan,CLE,50,20203
Jeremy Beasley,TOR,9,20205
Mike Baumann,BAL,13,20206
Jake Walsh,STL,3,20227
Zach Logue,OAK,14,20231
Zac Lowther,BAL,1,20243
Griffin Jax,MIN,65,20253
Cory Abbott,WSN,16,20277
Jhonathan Diaz,LAA,4,20298
David Peterson,NYM,28,20302
Erich Uelmen,CHC,25,20323
Matt Peacock,- - -,9,20339
Riley O'Brien,SEA,1,20348
Zack Kelly,BOS,13,20349
Steven Wilson,SDP,50,20353
Brusdar Graterol,LAD,46,20367
Matt Manning,DET,13,20369
Bruce Zimmermann,BAL,15,20370
Andres Munoz,SEA,64,20373
Greg Weissert,NYY,12,20375
Anthony Kay,TOR,1,20387
Josh Fleming,TBR,10,20418
Jovani Moran,MIN,31,20422
Rony Garcia,DET,16,20430
Enoli Paredes,HOU,3,20447
Huascar Ynoa,ATL,2,20468
Casey Mize,DET,2,20492
Kyle Nelson,ARI,43,20515
Nick Sandlin,CLE,46,20517
Denyi Reyes,BAL,3,20526
Kutter Crawford,BOS,21,20531
Edwin Uceta,ARI,10,20539
Phoenix Sanders,TBR,8,20541
Bowden Francis,TOR,1,20548
Kirk McCarty,CLE,13,20555
Jackson Tetreault,WSN,4,20565
Anderson Severino,CHW,6,20582
JC Mejia,MIL,2,20617
Jordan Holloway,MIA,1,20631
Yusei Kikuchi,TOR,32,20633
Luis Castillo,DET,3,20638
Felix Bautista,BAL,65,20666
Cristofer Ogando,TBR,3,20667
Cristopher Sanchez,PHI,15,20778
Manuel Rodriguez,CHC,14,20794
Aneurys Zabala,MIA,2,20802
Elvin Rodriguez,DET,7,20962
Eduard Bazardo,BOS,12,20997
Francisco Perez,WSN,10,21018
Adrian Martinez,OAK,12,21023
Oliver Ortega,LAA,27,21025
Jhoan Duran,MIN,57,21029
Emmanuel Clase,CLE,77,21032
Seth Martinez,HOU,29,21045
Luis Gil,NYY,1,21052
Thomas Szapucki,- - -,11,21065
Nick Duron,PHI,1,21092
Nick Vespi,BAL,25,21093
Dauri Moreta,CIN,35,21101
Miguel Yajure,PIT,12,21111
